model,mean,ci_lower,ci_upper,ci_width
anthropic__claude-sonnet-4.5,,,,
devstral__24b,80.4076923076923,79.32690313955791,81.39300853589802,2.066105396340106
gemma3__12b,78.7284023668639,77.58427743309838,79.88130006762702,2.297022634528645
gemma3__1b,63.65029585798816,62.38276171481728,64.9189003226928,2.536138607875529
gemma3__27b,82.44556213017752,81.48373210305644,83.38586616847303,1.9021340654165897
gemma3__4b,73.5378698224852,72.302962794228,74.7166045173724,2.4136417231444085
google__gemini-2.5-flash,86.3,85.35328599920082,87.17923462662463,1.8259486274238128
llama3.2__1b,59.19822485207101,57.879613208039274,60.44780386936898,2.5681906613297087
llama3.2__3b,42.29585798816568,40.7791301574104,44.07912014659386,3.2999899891834588
llama3.3__70b,82.64497041420118,81.69140768703268,83.66576964088304,1.9743619538503623
llama4__16x17b,79.20118343195266,78.03867002846499,80.21402996549642,2.1753599370314305
mistral-large__123b,83.38579881656804,82.3933993043576,84.32095601250212,1.9275567081445217
mistral-small3.2__24b,81.53076923076924,80.50727792973605,82.56917490130314,2.0618969715670943
mixtral__8x22b,79.75621301775148,78.66198865763037,80.75375180802969,2.0917631503993164
openai__gpt-4.1,88.10236686390533,87.13819652866627,88.83608387188804,1.6978873432217654
phi3.5__3.8b,73.32840236686391,72.25258298018463,74.49258772726614,2.240004747081514
phi3__14b,73.25798816568047,72.20265836752763,74.41174214210272,2.2090837745750918
phi4-mini__3.8b,71.26686390532544,70.00608035742016,72.39999798872097,2.393917631300809
phi4__14b,82.18579881656805,81.25024026384233,83.19552656694887,1.945286303106542
