judge,pearson_r,pearson_p,spearman_r,spearman_p,n
openai_gpt-5-mini,0.810573771159015,2.5700614926530646e-05,0.8140350877192982,2.2250026872282342e-05,19
gpt-oss_120b,0.7975519941634036,4.3125601356906814e-05,0.8,3.9238561936082606e-05,19
Average,0.8044751426199594,3.290570390700562e-05,0.8070175438596491,2.9715374434787926e-05,19
