model,mean,ci_lower,ci_upper,ci_width
anthropic__claude-sonnet-4.5,,,,
devstral__24b,80.4076923076923,79.3462083220598,81.45721920829959,2.1110108862397965
gemma3__12b,78.7284023668639,77.41191153873037,79.85815280949657,2.4462412707662082
gemma3__1b,63.65029585798816,62.38100531013818,64.89320335951126,2.512198049373083
gemma3__27b,82.44556213017752,81.39881656804734,83.38696241338627,1.9881458453389342
gemma3__4b,73.5378698224852,72.31483348437676,74.80004051496024,2.4852070305834815
google__gemini-2.5-flash,86.3,85.37311310971779,87.19993672172771,1.8268236120099175
llama3.2__1b,59.19822485207101,57.95762089367787,60.512352540109546,2.5547316464316765
llama3.2__3b,42.29585798816568,40.68774891802767,44.112184132126686,3.424435214099013
llama3.3__70b,82.64497041420118,81.61975482944754,83.6727263840371,2.0529715545895613
llama4__16x17b,79.20118343195266,78.1182323526541,80.247495775148,2.129263422493892
mistral-large__123b,83.38579881656804,82.4350919169684,84.29197804116183,1.856886124193423
mistral-small3.2__24b,81.53076923076924,80.48514460854611,82.58097698531742,2.0958323767713125
mixtral__8x22b,79.75621301775148,78.66989041835785,80.77276178361087,2.102871365253023
openai__gpt-4.1,88.10236686390533,87.23912230497066,88.85775109207427,1.618628787103603
phi3.5__3.8b,73.32840236686391,72.20632249526233,74.37139051047285,2.1650680152105224
phi3__14b,73.25798816568047,72.11360727350025,74.35821283961783,2.2446055661175848
phi4-mini__3.8b,71.26686390532544,70.01704032897929,72.45390518253038,2.4368648535510857
phi4__14b,82.18579881656805,81.14540900455052,83.17684132136495,2.0314323168144313
