judge,pearson_r,pearson_p,spearman_r,spearman_p,n
gpt-oss_120b,0.7975519941634035,4.312560135690688e-05,0.8,3.9238561936082586e-05,19
openai_gpt-5-mini,0.8105737711590149,2.5700614926530904e-05,0.8140350877192982,2.225002687228232e-05,19
Average,0.8044751426199594,3.2905703907005605e-05,0.8070175438596491,2.9715374434787916e-05,19
