judge,stat,p_value,median_diff,mean_diff,n
openai_gpt-5-mini,0.0,3.814697265625e-06,0.07600000000000007,0.09173444355488725,19
gpt-oss_120b,0.0,3.814697265625e-06,0.14376331360946748,0.16021211578102953,19
Average,0.0,3.814697265625e-06,0.11250295857988157,0.12597003715898705,19
